dataset	subject	session	n_raw_runs	n_timeseries_runs	n_qc_runs	raw_duration_sec	usable_duration_sec	passes_gate	has_connectome
friends	03	030	4	4	0	2792.26	2811.0	True	True
friends	03	031	4	4	0	2839.94	2859.0	True	True
friends	03	032	4	4	0	2704.35	2722.5	True	True
friends	03	033	4	4	0	2793.75	2812.5	True	True
friends	03	034	4	4	0	2729.68	2748.0	True	True
friends	03	035	6	6	0	4143.6900000000005	4171.5	True	True
friends	03	036	4	4	0	2777.36	2796.0	True	True
friends	03	037	4	4	0	2750.54	2769.0	True	True
friends	03	038	4	4	0	2753.52	2772.0	True	True
friends	03	039	4	4	0	2822.0600000000004	2841.0	True	True
friends	03	040	4	4	0	2750.54	2769.0	True	True
friends	03	041	4	4	0	2753.52	2772.0	True	True
friends	03	042	4	4	0	2866.76	2886.0	True	True
friends	03	043	4	4	0	2813.12	2832.0	True	True
friends	03	044	4	4	0	2777.3599999999997	2796.0	True	True
friends	03	045	4	4	0	2723.7200000000003	2742.0	True	True
friends	03	046	4	4	0	2655.18	2673.0	True	True
friends	03	047	4	4	0	2875.7	2895.0	True	True
friends	03	048	4	4	0	2643.26	2661.0	True	True
friends	03	049	4	4	0	2667.1	2685.0	True	True
friends	03	050	2	2	0	1367.82	1377.0	False	True
friends	03	052	4	4	0	3005.33	3025.5	True	True
friends	03	053	4	4	0	2889.1099999999997	2908.5	True	True
friends	03	054	4	4	0	2875.7	2895.0	True	True
friends	03	055	4	4	0	2918.91	2938.5	True	True
friends	03	056	4	4	0	2798.2200000000003	2817.0	True	True
friends	03	057	4	4	0	2801.2	2820.0	True	True
friends	03	058	2	2	0	1470.63	1480.5	False	True
friends	03	059	2	2	0	1378.25	1387.5	False	True
friends	03	060	4	4	0	2920.3999999999996	2940.0	True	True
friends	03	061	4	4	0	2866.76	2886.0	True	True
friends	03	062	4	4	0	2941.26	2961.0	True	True
friends	03	063	2	2	0	1379.74	1389.0	False	True
friends	03	065	1	1	0	730.1	735.0	False	True
friends	03	066	4	4	0	2765.44	2784.0	True	True
friends	03	067	4	4	0	2768.42	2787.0	True	True
friends	03	070	4	4	0	2836.96	2856.0	True	True
friends	03	071	4	4	0	2755.01	2737.5	True	True
friends	03	072	4	4	0	2769.91	2788.5	True	True
friends	03	074	4	4	0	2732.66	2751.0	True	True
friends	03	075	4	4	0	2990.4300000000003	3010.5	True	True
friends	03	076	4	4	0	2740.1099999999997	2758.5	True	True
friends	03	077	4	4	0	2875.7	2895.0	True	True
friends	03	078	5	5	0	3418.06	3441.0	True	True
friends	03	079	4	4	0	2683.49	2701.5	True	True
friends	03	080	5	5	0	3453.8199999999997	3477.0	True	True
friends	03	081	3	3	0	2121.76	2136.0	True	True
friends	03	082	2	2	0	1455.73	1465.5	False	True
friends	03	083	3	3	0	2103.88	2118.0	True	True
friends	03	084	5	0	0	3559.61		False	False
friends	03	085	4	0	0	2734.15		False	False
friends	03	086	5	0	0	3663.91		False	False
friends	03	087	4	0	0	2856.33		False	False
friends	03	088	1	0	0	683.91		False	False
friends	03	089	2	0	0	1425.93		False	False
friends	03	090	1	0	0	742.02		False	False
friends	03	091	1	0	0	673.48		False	False
friends	03	093	1	0	0	724.14		False	False
friends	03	094	1	0	0	803.11		False	False
friends	03	095	2	0	0	1549.6		False	False
friends	03	096	1	0	0	745.0		False	False
friends	03	097	1	0	0	843.34		False	False
friends	03	098	2	0	0	1487.02		False	False
friends	03	099	4	0	0	2583.66		False	False
friends	03	100	2	0	0	1472.12		False	False
friends	03	101	2	0	0	1352.92		False	False
friends	03	102	5	0	0	3435.94		False	False
friends	03	103	2	0	0	1467.65		False	False
friends	03	104	3	0	0	2209.67		False	False
friends	04	001	2	2	2	1436.36	1446.0	False	True
friends	04	003	4	4	4	2905.5	2916.0	True	True
friends	04	004	6	6	6	4613.04	4552.5	True	True
friends	04	005	4	4	4	2887.62	2773.5	True	True
friends	04	006	4	4	4	2872.7200000000003	2850.0	True	True
friends	04	007	4	4	4	2826.5299999999997	2802.0	True	True
friends	04	008	4	4	4	2884.6400000000003	2821.5	True	True
friends	04	009	6	6	6	4359.74	4350.0	True	True
friends	04	010	6	6	6	4163.0599999999995	4108.5	True	True
friends	04	011	6	6	6	4323.98	4251.0	True	True
friends	04	012	2	2	2	1421.46	1366.5	False	True
