dataset	subject	session	task	run	n_volumes	tr_seconds	duration_sec	in_timeseries	match_level	in_qc
emotion-videos	06	005	emotion	3	190	2.65	503.5	False	unmatched	False
emotion-videos	06	005	emotion	4	190	2.65	503.5	False	unmatched	False
emotion-videos	06	005	emotion	5	190	2.65	503.5	False	unmatched	False
emotion-videos	06	005	emotion	6	190	2.65	503.5	False	unmatched	False
emotion-videos	06	006	emotion	1	190	2.65	503.5	False	unmatched	False
emotion-videos	06	006	emotion	2	190	2.65	503.5	False	unmatched	False
emotion-videos	06	006	emotion	3	190	2.65	503.5	False	unmatched	False
emotion-videos	06	006	emotion	4	190	2.65	503.5	False	unmatched	False
emotion-videos	06	006	emotion	5	190	2.65	503.5	False	unmatched	False
emotion-videos	06	006	emotion	6	190	2.65	503.5	False	unmatched	False
floc	01	001	fLoc	1	155	1.49	230.95	True	exact	True
floc	01	001	fLoc	2	155	1.49	230.95	True	exact	True
floc	01	002	fLoc	1	155	1.49	230.95	True	exact	True
floc	01	002	fLoc	2	155	1.49	230.95	True	exact	True
floc	01	003	fLoc	1	155	1.49	230.95	True	exact	True
floc	01	003	fLoc	2	155	1.49	230.95	True	exact	True
floc	01	004	fLoc	1	155	1.49	230.95	True	exact	True
floc	01	004	fLoc	2	155	1.49	230.95	True	exact	True
floc	01	005	fLoc	1	155	1.49	230.95	True	exact	True
floc	01	005	fLoc	2	155	1.49	230.95	True	exact	True
floc	01	006	fLoc	1	155	1.49	230.95	True	exact	True
floc	01	006	fLoc	2	155	1.49	230.95	True	exact	True
floc	02	001	fLoc	1	155	1.49	230.95	False	unmatched	False
floc	02	001	fLoc	2	155	1.49	230.95	False	unmatched	False
floc	02	003	fLoc	1	155	1.49	230.95	True	exact	True
floc	02	003	fLoc	2	155	1.49	230.95	True	exact	True
floc	02	004	fLoc	1	155	1.49	230.95	True	exact	True
floc	02	004	fLoc	2	155	1.49	230.95	True	exact	True
floc	02	005	fLoc	1	155	1.49	230.95	True	exact	True
floc	02	005	fLoc	2	155	1.49	230.95	True	exact	True
floc	02	006	fLoc	1	155	1.49	230.95	True	exact	True
floc	02	006	fLoc	2	155	1.49	230.95	True	exact	True
floc	02	007	fLoc	1	155	1.49	230.95	True	exact	True
floc	02	007	fLoc	2	155	1.49	230.95	True	exact	True
floc	03	001	fLoc	1	161	1.49	239.89	False	unmatched	False
floc	03	001	fLoc	2	161	1.49	239.89	False	unmatched	False
floc	03	002	fLoc	1	155	1.49	230.95	True	exact	True
floc	03	002	fLoc	2	155	1.49	230.95	True	exact	True
floc	03	003	fLoc	1	155	1.49	230.95	True	exact	True
floc	03	003	fLoc	2	155	1.49	230.95	True	exact	True
floc	03	004	fLoc	1	155	1.49	230.95	True	exact	True
floc	03	004	fLoc	2	155	1.49	230.95	True	exact	True
floc	03	005	fLoc	1	155	1.49	230.95	True	exact	True
floc	03	005	fLoc	2	155	1.49	230.95	True	exact	True
floc	03	006	fLoc	1	155	1.49	230.95	True	exact	True
floc	03	006	fLoc	2	155	1.49	230.95	True	exact	True
friends	01	001	s01e02a		482	1.49	718.18	True	exact	True
friends	01	001	s01e02b		482	1.49	718.18	True	exact	True
friends	01	001	s01e03a		472	1.49	703.28	True	exact	True
friends	01	001	s01e03b		472	1.49	703.28	True	exact	True
friends	01	002	s01e04a		503	1.49	749.47	True	exact	True
friends	01	002	s01e04b		503	1.49	749.47	True	exact	True
friends	01	002	s01e05a		468	1.49	697.32	True	exact	True
friends	01	002	s01e05b		468	1.49	697.32	True	exact	True
friends	01	003	s01e01a		592	1.49	882.08	True	exact	True
friends	01	003	s01e01b		592	1.49	882.08	True	exact	True
friends	01	003	s01e06a		488	1.49	727.12	True	exact	True
friends	01	003	s01e06b		488	1.49	727.12	True	exact	True
friends	01	004	s01e07a		493	1.49	734.57	True	exact	True
friends	01	004	s01e07b		493	1.49	734.57	True	exact	True
friends	01	004	s01e08a		476	1.49	709.24	True	exact	True
friends	01	004	s01e08b		476	1.49	709.24	True	exact	True
friends	01	004	s01e09a		468	1.49	697.32	True	exact	True
friends	01	004	s01e09b		468	1.49	697.32	True	exact	True
friends	01	005	s01e10a		496	1.49	739.04	True	exact	True
friends	01	005	s01e10b		496	1.49	739.04	True	exact	True
friends	01	005	s01e11a		477	1.49	710.73	True	exact	True
friends	01	005	s01e11b		477	1.49	710.73	True	exact	True
friends	01	006	s01e12a		472	1.49	703.28	True	exact	True
friends	01	006	s01e12b		471	1.49	701.79	True	exact	True
friends	01	006	s01e13a		468	1.49	697.32	True	exact	True
friends	01	006	s01e13b		468	1.49	697.32	True	exact	True
friends	01	006	s01e14a		491	1.49	731.59	True	exact	True
friends	01	006	s01e14b		491	1.49	731.59	True	exact	True
friends	01	007	s01e15a		477	1.49	710.73	True	exact	True
friends	01	007	s01e15b		477	1.49	710.73	True	exact	True
friends	01	007	s01e16a		483	1.49	719.67	True	exact	True
friends	01	007	s01e16b		483	1.49	719.67	True	exact	True
friends	01	007	s01e17a		483	1.49	719.67	True	exact	True
friends	01	007	s01e17b		483	1.49	719.67	True	exact	True
friends	01	008	s01e18a		497	1.49	740.53	True	exact	True
friends	01	008	s01e18b		497	1.49	740.53	True	exact	True
friends	01	008	s01e19a		460	1.49	685.4	True	exact	True
friends	01	008	s01e19b		460	1.49	685.4	True	exact	True
friends	01	009	s01e20a		460	1.49	685.4	True	exact	True
friends	01	009	s01e20b		460	1.49	685.4	True	exact	True
friends	01	009	s01e21a		477	1.49	710.73	True	exact	True
friends	01	009	s01e21b		477	1.49	710.73	True	exact	True
friends	01	009	s01e22a		474	1.49	706.26	True	exact	True
friends	01	009	s01e22b		474	1.49	706.26	True	exact	True
friends	01	010	s01e23a		462	1.49	688.38	True	exact	True
friends	01	010	s01e23b		462	1.49	688.38	True	exact	True
friends	01	010	s01e24a		515	1.49	767.35	True	exact	True
friends	01	010	s01e24b		515	1.49	767.35	True	exact	True
friends	01	010	s02e01a		477	1.49	710.73	True	exact	True
friends	01	010	s02e01b		477	1.49	710.73	True	exact	True
friends	01	011	s02e02a		450	1.49	670.5	True	exact	True
friends	01	011	s02e02b		450	1.49	670.5	True	exact	True
friends	01	011	s02e03a		464	1.49	691.36	True	exact	True
friends	01	011	s02e03b		464	1.49	691.36	True	exact	True
friends	01	011	s02e04a		454	1.49	676.46	True	exact	True
friends	01	011	s02e04b		454	1.49	676.46	True	exact	True
friends	01	011	s02e05a		455	1.49	677.95	True	exact	True
friends	01	011	s02e05b		455	1.49	677.95	True	exact	True
friends	01	012	s02e06a		500	1.49	745.0	True	exact	True
friends	01	012	s02e06b		500	1.49	745.0	True	exact	True
friends	01	012	s02e07a		496	1.49	739.04	True	exact	True
friends	01	012	s02e07b		496	1.49	739.04	True	exact	True
friends	01	013	s02e08a		458	1.49	682.42	True	exact	True
friends	01	013	s02e08b		458	1.49	682.42	True	exact	True
friends	01	013	s02e09a		452	1.49	673.48	True	exact	True
friends	01	013	s02e09b		452	1.49	673.48	True	exact	True
friends	01	013	s02e10a		479	1.49	713.71	True	exact	True
friends	01	013	s02e10b		479	1.49	713.71	True	exact	True
friends	01	014	s02e11a		488	1.49	727.12	True	exact	True
friends	01	014	s02e11b		488	1.49	727.12	True	exact	True
friends	01	014	s02e12a		488	1.49	727.12	True	exact	True
friends	01	014	s02e12b		488	1.49	727.12	True	exact	True
friends	01	014	s02e13a		488	1.49	727.12	True	exact	True
friends	01	014	s02e13b		488	1.49	727.12	True	exact	True
friends	01	015	s02e14a		474	1.49	706.26	True	exact	True
friends	01	015	s02e14b		474	1.49	706.26	True	exact	True
friends	01	015	s02e15a		466	1.49	694.34	True	exact	True
friends	01	015	s02e15b		466	1.49	694.34	True	exact	True
friends	01	016	s02e16a		478	1.49	712.22	True	exact	True
friends	01	016	s02e16b		478	1.49	712.22	True	exact	True
friends	01	016	s02e17a		489	1.49	728.61	True	exact	True
friends	01	016	s02e17b		489	1.49	728.61	True	exact	True
friends	01	017	s02e18a		460	1.49	685.4	True	exact	True
friends	01	017	s02e18b		460	1.49	685.4	True	exact	True
friends	01	017	s02e19a		478	1.49	712.22	True	exact	True
friends	01	017	s02e19b		478	1.49	712.22	True	exact	True
friends	01	017	s02e20a		449	1.49	669.01	True	exact	True
friends	01	017	s02e20b		449	1.49	669.01	True	exact	True
friends	01	017	s02e21a		470	1.49	700.3	True	exact	True
friends	01	017	s02e21b		470	1.49	700.3	True	exact	True
friends	01	017	s02e22a		453	1.49	674.97	True	exact	True
friends	01	017	s02e22b		453	1.49	674.97	True	exact	True
friends	01	018	s02e23a		456	1.49	679.4399999999999	True	exact	True
friends	01	018	s02e23b		456	1.49	679.4399999999999	True	exact	True
friends	01	018	s02e24a		469	1.49	698.81	True	exact	True
friends	01	018	s02e24b		469	1.49	698.81	True	exact	True
friends	01	019	s03e01a		491	1.49	731.59	True	exact	False
friends	01	019	s03e01b		491	1.49	731.59	True	exact	False
friends	01	019	s03e02a		475	1.49	707.75	True	exact	False
friends	01	019	s03e02b		475	1.49	707.75	True	exact	False
friends	01	019	s03e03a		454	1.49	676.46	True	exact	False
friends	01	019	s03e03b		454	1.49	676.46	True	exact	False
friends	01	020	s03e04a		473	1.49	704.77	True	exact	False
friends	01	020	s03e04b		473	1.49	704.77	True	exact	False
friends	01	020	s03e05a		484	1.49	721.16	True	exact	False
friends	01	020	s03e05b		484	1.49	721.16	True	exact	False
friends	01	020	s03e06a		470	1.49	700.3	True	exact	False
friends	01	020	s03e06b		470	1.49	700.3	True	exact	False
friends	01	021	s03e07a		467	1.49	695.83	True	exact	False
friends	01	021	s03e07b		467	1.49	695.83	True	exact	False
friends	01	021	s03e08a		460	1.49	685.4	True	exact	False
friends	01	021	s03e08b		460	1.49	685.4	True	exact	False
friends	01	021	s03e09a		493	1.49	734.57	True	exact	False
friends	01	021	s03e09b		493	1.49	734.57	True	exact	False
friends	01	022	s03e10a		451	1.49	671.99	True	exact	False
friends	01	022	s03e10b		451	1.49	671.99	True	exact	False
friends	01	022	s03e11a		457	1.49	680.93	True	exact	False
friends	01	022	s03e11b		456	1.49	679.4399999999999	True	exact	False
friends	01	022	s03e12a		464	1.49	691.36	True	exact	False
friends	01	022	s03e12b		464	1.49	691.36	True	exact	False
friends	01	023	s03e13a		474	1.49	706.26	True	exact	False
friends	01	023	s03e13b		473	1.49	704.77	True	exact	False
friends	01	023	s03e14a		458	1.49	682.42	True	exact	False
friends	01	023	s03e14b		458	1.49	682.42	True	exact	False
friends	01	024	s03e15a		458	1.49	682.42	True	exact	False
friends	01	024	s03e15b		458	1.49	682.42	True	exact	False
friends	01	024	s03e16a		468	1.49	697.32	True	exact	False
friends	01	024	s03e16b		468	1.49	697.32	True	exact	False
friends	01	024	s03e17a		454	1.49	676.46	True	exact	False
friends	01	024	s03e17b		453	1.49	674.97	True	exact	False
friends	01	025	s03e18a		469	1.49	698.81	True	exact	False
friends	01	025	s03e18b		469	1.49	698.81	True	exact	False
friends	01	025	s03e19a		468	1.49	697.32	True	exact	False
friends	01	025	s03e19b		468	1.49	697.32	True	exact	False
friends	01	025	s03e20a		464	1.49	691.36	True	exact	False
friends	01	025	s03e20b		464	1.49	691.36	True	exact	False
friends	01	026	s03e21a		460	1.49	685.4	True	exact	False
friends	01	026	s03e21b		460	1.49	685.4	True	exact	False
friends	01	026	s03e22a		463	1.49	689.87	True	exact	False
friends	01	026	s03e22b		463	1.49	689.87	True	exact	False
friends	01	027	s03e23a		470	1.49	700.3	True	exact	False
friends	01	027	s03e23b		470	1.49	700.3	True	exact	False
friends	01	027	s03e24a		454	1.49	676.46	True	exact	False
friends	01	027	s03e24b		454	1.49	676.46	True	exact	False
friends	01	027	s03e25a		479	1.49	713.71	True	exact	False
friends	01	027	s03e25b		479	1.49	713.71	True	exact	False
friends	01	027	s04e01a		468	1.49	697.32	True	exact	False
friends	01	027	s04e01b		468	1.49	697.32	True	exact	False
friends	01	027	s04e02a		478	1.49	712.22	True	exact	False
friends	01	027	s04e02b		478	1.49	712.22	True	exact	False
friends	01	028	s04e03a		445	1.49	663.05	True	exact	False
friends	01	028	s04e03b		445	1.49	663.05	True	exact	False
friends	01	028	s04e04a		453	1.49	674.97	True	exact	False
friends	01	028	s04e04b		453	1.49	674.97	True	exact	False
friends	01	028	s04e05a		471	1.49	701.79	True	exact	False
friends	01	028	s04e05b		471	1.49	701.79	True	exact	False
friends	01	028	s04e06a		465	1.49	692.85	True	exact	False
friends	01	028	s04e06b		465	1.49	692.85	True	exact	False
friends	01	028	s04e07a		497	1.49	740.53	True	exact	False
friends	01	028	s04e07b		497	1.49	740.53	True	exact	False
friends	01	029	s04e08a		503	1.49	749.47	True	exact	False
friends	01	029	s04e08b		503	1.49	749.47	True	exact	False
friends	01	029	s04e09a		441	1.49	657.09	True	exact	False
friends	01	029	s04e09b		441	1.49	657.09	True	exact	False
friends	01	029	s04e10a		449	1.49	669.01	True	exact	False
friends	01	029	s04e10b		449	1.49	669.01	True	exact	False
friends	01	029	s04e11a		483	1.49	719.67	True	exact	False
friends	01	029	s04e11b		483	1.49	719.67	True	exact	False
friends	01	030	s04e12a		466	1.49	694.34	True	exact	False
friends	01	030	s04e12b		466	1.49	694.34	True	exact	False
friends	01	030	s04e13a		448	1.49	667.52	True	exact	False
friends	01	030	s04e13b		448	1.49	667.52	True	exact	False
friends	01	030	s04e14a		447	1.49	666.03	True	exact	False
friends	01	030	s04e14b		447	1.49	666.03	True	exact	False
friends	01	031	s04e15a		444	1.49	661.56	True	exact	False
friends	01	031	s04e15b		444	1.49	661.56	True	exact	False
friends	01	031	s04e16a		487	1.49	725.63	True	exact	False
friends	01	031	s04e16b		487	1.49	725.63	True	exact	False
friends	01	031	s04e17a		478	1.49	712.22	True	exact	False
friends	01	031	s04e17b		478	1.49	712.22	True	exact	False
friends	01	032	s04e18a		450	1.49	670.5	True	exact	False
friends	01	032	s04e18b		450	1.49	670.5	True	exact	False
friends	01	032	s04e19a		437	1.49	651.13	True	exact	False
friends	01	032	s04e19b		437	1.49	651.13	True	exact	False
friends	01	033	s04e20a		447	1.49	666.03	True	exact	False
friends	01	033	s04e20b		447	1.49	666.03	True	exact	False
friends	01	034	s04e21a		448	1.49	667.52	True	exact	False
friends	01	034	s04e21b		448	1.49	667.52	True	exact	False
friends	01	034	s04e22a		459	1.49	683.91	True	exact	False
friends	01	034	s04e22b		459	1.49	683.91	True	exact	False
friends	01	035	s04e23a		505	1.49	752.45	True	exact	False
friends	01	035	s04e23b		504	1.49	750.96	True	exact	False
friends	01	035	s04e23c		504	1.49	750.96	True	exact	False
friends	01	035	s04e23d		504	1.49	750.96	True	exact	False
friends	01	036	s05e01a		439	1.49	654.11	True	exact	False
friends	01	036	s05e01b		474	1.49	706.26	True	exact	False
friends	01	036	s05e02a		495	1.49	737.55	True	exact	False
friends	01	036	s05e02b		531	1.49	791.1899999999999	True	exact	False
friends	01	037	s05e03a		444	1.49	661.56	True	exact	False
friends	01	037	s05e03b		474	1.49	706.26	True	exact	False
friends	01	037	s05e04a		488	1.49	727.12	True	exact	False
friends	01	037	s05e04b		524	1.49	780.76	True	exact	False
friends	01	041	s05e05a		486	1.49	724.14	True	exact	False
